timeStamp,elapsed,responseCode,success,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1559320163320,309,200,true,1592,116,10,10,309,0,161
1559320163400,297,200,true,1613,116,10,10,297,0,145
1559320163418,300,200,true,1608,116,10,10,300,0,149
1559320163483,294,200,true,1597,116,10,10,294,0,155
1559320163496,300,200,true,1592,116,10,10,300,0,167
1559320163498,301,200,true,1608,116,10,10,301,0,167
1559320163539,279,200,true,1597,116,10,10,279,0,137
1559320163558,289,200,true,1592,116,10,10,289,0,147
1559320163603,256,200,true,1597,116,10,10,255,0,128
1559320163628,262,200,true,1592,116,10,10,262,0,129
1559320163630,268,200,true,1592,116,10,10,267,0,142
1559320163697,260,200,true,1592,116,10,10,260,0,126
1559320163718,277,200,true,1592,116,10,10,275,0,132
1559320163778,255,200,true,1608,116,10,10,254,0,120
1559320163799,267,200,true,1592,116,10,10,264,0,123
1559320163796,271,200,true,1592,116,10,10,271,0,126
1559320163819,279,200,true,1597,116,10,10,279,0,126
1559320163847,253,200,true,1592,116,10,10,253,0,133
1559320163859,291,200,true,1608,116,10,10,291,0,155
1559320163891,271,200,true,1592,116,10,10,271,0,127
1559320163898,285,200,true,1592,116,10,10,284,0,138
1559320163958,275,200,true,1608,116,10,10,274,0,133
1559320163995,259,200,true,1592,116,10,10,259,0,128
1559320164033,263,200,true,1592,116,10,10,259,0,132
1559320164067,260,200,true,1592,116,10,10,260,0,133
1559320164068,264,200,true,1614,116,10,10,264,0,132
1559320164100,277,200,true,1597,116,10,10,276,0,136
1559320164098,290,200,true,1597,116,10,10,287,0,141
1559320164163,255,200,true,1592,116,10,10,254,0,127
1559320164150,270,200,true,1592,116,10,10,270,0,137
1559320164183,415,200,true,1614,116,10,10,415,0,139
1559320164233,440,200,true,1592,116,10,10,439,0,128
1559320164254,456,200,true,1592,116,10,10,456,0,137
1559320164296,612,200,true,1608,116,10,10,612,0,141
1559320164328,610,200,true,1592,116,10,10,610,0,272
1559320164333,616,200,true,1592,116,10,10,616,0,330
1559320164377,581,200,true,1597,116,10,10,581,0,317
1559320164388,572,200,true,1613,116,10,10,570,0,318
1559320164418,578,200,true,1614,116,10,10,578,0,293
1559320164420,582,200,true,1597,116,10,10,581,0,291
1559320164598,471,200,true,1608,116,10,10,471,0,321
1559320164673,421,200,true,1613,116,10,10,420,0,283
1559320164711,428,200,true,1592,116,10,10,427,0,289
1559320164909,266,200,true,1613,116,10,10,265,0,132
1559320164939,278,200,true,1592,116,10,10,278,0,145
1559320164949,274,200,true,1592,116,10,10,273,0,139
1559320164959,287,200,true,1597,116,10,10,287,0,141
1559320164960,295,200,true,1592,116,10,10,292,0,151
1559320164997,275,200,true,1597,116,10,10,275,0,140
1559320165002,275,200,true,1608,116,10,10,274,0,135
1559320165069,268,200,true,1608,116,10,10,268,0,133
1559320165094,283,200,true,1592,116,10,10,283,0,141
1559320165139,290,200,true,1608,116,10,10,290,0,142
1559320165175,265,200,true,1592,116,10,10,264,0,132
1559320165223,269,200,true,1608,116,10,10,269,0,137
1559320165218,289,200,true,1592,116,9,9,289,0,146
1559320165246,282,200,true,1608,116,8,8,281,0,143
1559320165255,282,200,true,1614,116,7,7,281,0,135
1559320165273,267,200,true,1592,116,6,6,267,0,132
1559320165277,281,200,true,1608,116,5,5,281,0,148
1559320165337,252,200,true,1608,116,4,4,252,0,132
1559320165377,271,200,true,1592,116,3,3,271,0,136
1559320165430,258,200,true,1608,116,2,2,258,0,131
1559320165441,269,200,true,1592,116,1,1,269,0,136
